"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l"
"1239",1239,"CH",8,2840,0.899777412,0.464939934,2,7,1,1959,57,1,5,7,18,1,0,60,1000,2,8,2016
"17",17,"CH",8,45,1.032253623,0.464939934,1,8,1,1963,53,2,3,3,13,1,0,45,8331,2,4,2016
"423",423,"CH",8,1092,0.899520457,0.464939934,4,9,1,1983,33,1,3,3,9,1,0,45,7115,2,5,2016
"663",663,"CH",8,1607,0.78312695,0.464939934,2,10,1,1948,68,2,2,2,9,0,0,45,8210,1,5,2016
"665",665,"CH",8,1613,0.866011918,0.464939934,2,10,1,1984,32,1,3,3,10,1,0,43,7233,2,3,2016
"498",498,"CH",8,1237,1.210716963,0.464939934,1,10,2,1959,57,2,2,2,11,1,0,48,1420,2,7,2016
"93",93,"CH",8,270,1.17324388,0.464939934,1,5,1,1967,49,2,3,3,9,1,0,25,7112,1,2,2016
"875",875,"CH",8,2071,1.210716963,0.464939934,3,9,2,1956,60,2,3,3,9,1,0,18,5153,2,5,2016
"355",355,"CH",8,953,1.102796197,0.464939934,2,8,2,1934,82,2,3,4,8,0,0,666,66666,2,5,2016
"1256",1256,"CH",8,2872,0.75395447,0.464939934,1,9,1,1959,57,1,5,7,9,1,0,70,1120,1,88,2016
"1326",1326,"CH",8,3006,0.959825993,0.464939934,1,8,2,1959,57,2,3,3,12,0,0,32,4120,2,8,2016
"1097",1097,"CH",8,2553,1.17324388,0.464939934,2,9,1,1979,37,1,2,2,10,1,0,43,5223,2,4,2016
"784",784,"CH",8,1873,0.979478419,0.464939934,3,10,2,1990,26,1,3,3,9,0,0,42,4321,2,3,2016
"761",761,"CH",8,1825,1.17324388,0.464939934,2,8,1,1968,48,1,3,3,9,1,0,37,7412,2,4,2016
"1460",1460,"CH",8,3292,1.033508062,0.464939934,2,10,1,1985,31,2,3,3,16,1,0,28,1120,2,6,2016
"690",690,"CH",8,1675,1.17324388,0.464939934,2,9,1,1977,39,1,4,5,9,1,0,42,3355,2,7,2016
"1010",1010,"CH",8,2389,0.93108362,0.464939934,2,9,2,1955,61,1,5,6,9,1,0,888,2330,2,77,2016
"1218",1218,"CH",8,2801,1.152878165,0.464939934,2,9,2,1975,41,1,3,4,17,0,0,666,66666,2,88,2016
"139",139,"CH",8,411,1.186012149,0.464939934,2,6,1,1963,53,2,3,3,10,1,0,0,7411,2,6,2016
"195",195,"CH",8,579,1.022381425,0.464939934,2,8,1,1987,29,2,5,7,19,1,0,65,2113,2,2,2016
"234",234,"CH",8,668,0.78312695,0.464939934,2,7,1,1956,60,2,3,3,9,1,0,45,7222,2,77,2016
"1085",1085,"CH",8,2530,1.17324388,0.464939934,3,9,1,1981,35,1,5,5,9,1,0,52,2412,2,7,2016
"871",871,"CH",8,2064,1.17324388,0.464939934,2,9,1,1968,48,1,3,3,10,1,0,50,1120,2,8,2016
"1356",1356,"CH",8,3061,0.872584283,0.464939934,3,7,1,1996,20,2,2,2,9,1,1,42,7412,2,10,2016
"476",476,"CH",8,1190,0.75395447,0.464939934,3,8,1,1946,70,2,3,3,6,0,0,42,3422,2,5,2016
"1240",1240,"CH",8,2845,0.993800044,0.464939934,3,10,1,1969,47,1,3,3,11,1,0,42,7120,2,6,2016
"921",921,"CH",8,2182,0.78312695,0.464939934,3,8,1,1959,57,2,3,3,9,1,0,42,3155,2,6,2016
"299",299,"CH",8,828,0.899777412,0.464939934,3,7,1,1942,74,2,2,2,8,0,0,0,3119,2,77,2016
"1095",1095,"CH",8,2550,0.93108362,0.464939934,3,8,2,1958,58,1,2,2,12,1,0,20,5223,2,7,2016
"730",730,"CH",8,1756,1.032253623,0.464939934,2,5,1,1965,51,2,3,3,9,1,0,5,1221,2,5,2016
"1075",1075,"CH",8,2510,1.001342416,0.464939934,2,9,1,1977,39,1,5,5,9,1,0,50,1000,2,9,2016
"1119",1119,"CH",8,2591,1.302075982,0.464939934,4,8,1,1968,48,1,3,3,11,1,0,0,8332,2,4,2016
"392",392,"CH",8,1035,0.959825993,0.464939934,2,10,2,1949,67,2,3,3,12,0,0,27,3221,2,77,2016
"941",941,"CH",8,2223,1.17324388,0.464939934,3,8,1,1977,39,1,5,5,9,1,0,44,3119,2,6,2016
"436",436,"CH",8,1120,0.899520457,0.464939934,3,8,1,1998,18,2,2,2,11,0,1,666,66666,2,88,2016
"554",554,"CH",8,1367,0.75395447,0.464939934,3,9,1,1956,60,2,3,3,9,1,0,0,2161,2,4,2016
"379",379,"CH",8,1012,0.959825993,0.464939934,2,8,2,1952,64,2,4,5,9,0,0,12,2341,2,3,2016
"929",929,"CH",8,2202,1.090924263,0.464939934,2,8,2,1959,57,1,5,6,16,0,0,40,3412,2,9,2016
"231",231,"CH",8,658,0.890090764,0.464939934,2,7,1,1935,81,2,3,3,8,0,0,48,6130,2,2,2016
"383",383,"CH",8,1019,1.090924263,0.464939934,4,8,2,1934,82,1,1,1,1,0,0,42,8100,2,5,2016
"333",333,"CH",8,911,1.102796197,0.464939934,2,8,2,1938,78,2,3,3,12,0,0,888,4312,2,88,2016
"464",464,"CH",8,1172,1.003414631,0.464939934,2,8,2,1962,54,2,3,3,10,0,0,15,3221,1,5,2016
"275",275,"CH",8,777,0.93108362,0.464939934,1,9,2,1952,64,2,5,7,14,1,0,40,2000,2,6,2016
"360",360,"CH",8,964,0.924070776,0.464939934,2,7,2,1950,66,1,3,4,12,0,0,44,3431,2,88,2016
"1182",1182,"CH",8,2727,1.17324388,0.464939934,2,6,1,1966,50,1,5,5,10,1,0,60,1120,2,7,2016
"1164",1164,"CH",8,2691,1.302075982,0.464939934,3,8,1,1975,41,1,5,7,17,1,0,0,3334,1,7,2016
"563",563,"CH",8,1395,1.090924263,0.464939934,2,9,2,1941,75,2,3,3,8,0,0,50,5141,2,2,2016
"1232",1232,"CH",8,2831,0.993800044,0.464939934,1,7,1,1966,50,1,5,5,9,1,0,50,1211,2,9,2016
"1065",1065,"CH",8,2483,0.972100914,0.464939934,2,10,2,1999,17,2,3,3,9,0,1,42,5320,2,6,2016
"1147",1147,"CH",8,2654,1.003414631,0.464939934,3,9,2,1974,42,1,3,3,12,0,0,888,3221,2,6,2016
"1494",1494,"CH",8,3386,0.899520457,0.464939934,3,8,1,1992,24,2,3,3,9,1,0,43,7511,2,4,2016
"417",417,"CH",8,1080,0.959825993,0.464939934,3,8,2,1944,72,2,3,3,9,0,0,42,5230,2,9,2016
