x,cntry,essround,idno,pspwght,pweight,polintr,happy,gndr,yrbrn,agea,chldhm,edulvla,eisced,eduyrs,pdwrk,edctn,wkhtot,isco08,uemp3m,hinctnta
345,CH,8,935,0.890090764,0.464939934,1,1,1,1949,67,2,3,3,9,0,0,55,5223,1,1
346,CH,8,937,1.147626638,0.464939934,3,10,2,1983,33,1,3,3,9,1,0,9,7522,2,3
347,CH,8,938,0.78312695,0.464939934,2,8,1,1948,68,2,5,5,19,0,0,42,2351,2,77
348,CH,8,940,0.78312695,0.464939934,1,7,1,1922,94,2,3,3,9,0,0,48,3432,2,2
349,CH,8,941,0.75395447,0.464939934,2,8,1,1951,65,2,3,4,12,0,0,43,1320,2,5
350,CH,8,946,0.959825993,0.464939934,2,8,2,1959,57,2,5,5,17,1,0,43,3221,2,10
351,CH,8,947,0.75395447,0.464939934,2,9,1,1961,55,2,5,5,14,1,0,50,2635,2,8
352,CH,8,950,1.003414631,0.464939934,2,5,2,1976,14,1,5,5,12,0,0,666,66666,1,5
353,CH,8,951,0.866011918,0.464939934,2,8,1,1990,26,2,5,6,12,1,0,45,2144,1,88
354,CH,8,952,1.102796197,0.464939934,3,8,2,1951,65,2,5,5,12,0,0,60,2340,2,4
355,CH,8,953,1.102796197,0.464939934,2,8,2,1934,82,2,3,4,8,0,0,666,66666,2,5
356,CH,8,954,0.890090764,0.464939934,2,9,1,1935,81,2,5,5,16,1,0,42,7221,2,77
357,CH,8,957,0.872584283,0.464939934,3,9,1,1984,32,2,5,7,18,1,0,48,2512,2,10
358,CH,8,959,0.78312695,0.464939934,2,10,1,1938,78,2,5,7,8,0,0,0,2330,2,77
359,CH,8,962,0.924070776,0.464939934,1,9,2,1959,57,2,2,2,8,1,0,27,5100,2,3
360,CH,8,964,0.924070776,0.464939934,2,7,2,1950,66,1,3,4,12,0,0,44,3431,2,88
361,CH,8,965,0.78312695,0.464939934,1,8,1,1955,61,2,5,7,16,1,0,32,2000,2,10
362,CH,8,966,0.759676516,0.464939934,1,10,1,1951,65,2,3,3,9,0,0,38,1111,2,6
363,CH,8,972,1.001342416,0.464939934,1,10,1,1977,39,2,5,6,15,1,0,47,2431,1,10
364,CH,8,973,0.890090764,0.464939934,3,9,1,1931,85,2,5,5,16,0,0,42,1211,2,77
365,CH,8,977,0.78312695,0.464939934,1,8,1,1948,68,2,3,3,9,1,0,18,5153,1,6
366,CH,8,980,1.009714603,0.464939934,3,6,2,1989,27,2,3,3,10,0,0,43,5223,1,2
367,CH,8,982,1.147626638,0.464939934,2,10,2,1982,34,1,5,5,13,0,0,25,2635,2,6
368,CH,8,984,1.090924263,0.464939934,1,10,2,1951,65,2,3,3,9,0,0,2,3344,2,4
369,CH,8,986,0.872584283,0.464939934,1,9,1,1984,32,1,1,1,11,1,0,43,7131,2,5
370,CH,8,988,0.890090764,0.464939934,1,10,1,1957,59,2,5,7,8,0,0,60,1223,2,3
371,CH,8,990,1.102796197,0.464939934,3,10,2,1958,59,2,5,5,13,0,0,90,5131,2,1
372,CH,8,992,0.75395447,0.464939934,3,9,1,1951,65,2,5,5,12,0,0,42,2144,2,77
373,CH,8,993,0.890090764,0.464939934,4,6,1,1950,66,2,3,3,8,0,0,60,1120,2,7
374,CH,8,994,0.78312695,0.464939934,1,10,1,1946,71,2,5,5,12,1,0,888,3122,2,5
375,CH,8,997,1.022381425,0.464939934,8,8,1,1987,29,2,5,6,18,0,1,888,2500,2,77
376,CH,8,999,1.032253623,0.464939934,3,9,1,1963,53,2,3,3,9,1,0,42,7233,2,6
377,CH,8,1005,1.102796197,0.464939934,3,9,2,1950,66,2,3,3,9,0,0,5,1112,2,6
378,CH,8,1006,0.78312695,0.464939934,1,8,1,1956,60,2,3,3,12,1,0,42,5153,2,10
379,CH,8,1012,0.959825993,0.464939934,2,8,2,1952,64,2,4,5,9,0,0,12,2341,2,3
380,CH,8,1013,0.959825993,0.464939934,1,9,2,1942,74,2,5,7,21,0,0,888,2636,2,88
381,CH,8,1016,1.302075982,0.464939934,3,8,1,1971,45,2,3,4,13,1,0,45,7213,1,8
382,CH,8,1017,0.78312695,0.464939934,2,10,1,1938,78,2,5,5,14,0,0,43,1120,2,4
383,CH,8,1019,1.090924263,0.464939934,4,8,2,1934,82,1,1,1,1,0,0,42,8100,2,5
384,CH,8,1021,0.890090764,0.464939934,2,8,1,1938,78,2,3,3,8,1,0,25,3255,2,5
385,CH,8,1022,0.959825993,0.464939934,1,10,2,1942,74,2,3,3,11,0,0,43,3211,2,77
386,CH,8,1023,0.78312695,0.464939934,1,8,1,1948,69,2,5,6,13,0,0,42,5322,2,5
387,CH,8,1024,1.090924263,0.464939934,2,8,2,1948,68,2,2,2,8,0,0,15,7322,2,5
388,CH,8,1030,0.924070776,0.464939934,4,5,2,1950,66,2,5,5,9,1,0,0,2421,2,77
