"","x","cntry","essround","idno","pspwght","pweight","polintr","happy","gndr","yrbrn","agea","chldhm","edulvla","eisced","eduyrs","pdwrk","edctn","wkhtot","isco08","uemp3m","hinctnta","agea_l","zv"
"755",755,"CH",8,1811,1.134647846,0.464939934,3,7,1,1984,32,2,3,3,9,1,0,45,7120,2,7,2016,-1.24880581608603
"1235",1235,"CH",8,2836,1.17324388,0.464939934,2,7,1,1969,47,1,5,7,18,1,0,32,3352,2,7,2016,-1.24561409025044
"590",590,"CH",8,1457,0.899777412,0.464939934,2,8,1,1932,84,2,2,2,12,0,0,40,2320,2,4,2016,-1.24016923284905
"629",629,"CH",8,1533,0.75395447,0.464939934,2,9,1,1944,72,2,2,2,9,0,0,45,3120,2,88,2016,-1.23880620008374
"967",967,"CH",8,2286,1.152878165,0.464939934,4,8,2,1972,44,1,3,3,10,0,0,666,66666,2,4,2016,-1.23717868852962
"1346",1346,"CH",8,3039,0.75395447,0.464939934,1,9,1,1959,57,1,5,5,9,1,0,42,9000,2,2,2016,-1.23481954161254
"177",177,"CH",8,518,0.75395447,0.464939934,2,9,1,1946,70,2,3,3,8,0,0,55,8331,1,7,2016,-1.2311937516907
"650",650,"CH",8,1569,0.890090764,0.464939934,1,9,1,1936,80,2,5,5,10,0,0,666,66666,2,3,2016,-1.23058144889338
"1274",1274,"CH",8,2904,1.17324388,0.464939934,4,7,1,1969,47,1,3,3,10,1,0,43,7411,2,7,2016,-1.22831690342037
"624",624,"CH",8,1520,1.140466452,0.464939934,3,8,2,1962,54,2,3,3,9,1,0,32,5223,2,6,2016,-1.22705908070656
"889",889,"CH",8,2099,0.872584283,0.464939934,2,5,1,1999,17,2,2,2,9,0,1,42,7412,2,5,2016,-1.22565929114954
"1124",1124,"CH",8,2604,1.032253623,0.464939934,2,8,1,1968,48,1,3,3,9,1,0,2,2514,2,5,2016,-1.22212636004238
"1153",1153,"CH",8,2667,0.899777412,0.464939934,2,10,1,1958,58,1,3,3,7,1,0,2,3324,2,7,2016,-1.2195243334047
"316",316,"CH",8,863,1.032253623,0.464939934,3,8,1,1972,44,2,5,6,13,1,0,55,2264,2,10,2016,-1.21813415674878
"708",708,"CH",8,1710,0.759676516,0.464939934,1,8,1,1955,62,2,5,5,8,1,0,43,3122,2,7,2017,-1.21782316097141
"1156",1156,"CH",8,2677,1.022381425,0.464939934,1,9,1,1990,26,2,5,6,17,0,1,42,2000,1,7,2016,-1.21085383484284
"339",339,"CH",8,921,1.147626638,0.464939934,2,7,2,1984,33,2,3,3,9,0,0,36,4120,1,3,2017,-1.20745773148906
"1350",1350,"CH",8,3050,1.003414631,0.464939934,1,9,2,1981,35,1,5,7,16,1,0,35,2320,2,5,2016,-1.20540676613463
"662",662,"CH",8,1603,1.140466452,0.464939934,1,9,2,1967,49,2,5,7,18,1,0,20,1213,2,10,2016,-1.20477750506875
"1040",1040,"CH",8,2440,0.966035604,0.464939934,3,5,2,1979,37,1,5,6,11,0,1,8,1341,2,7,2016,-1.20298564975372
"120",120,"CH",8,360,1.102796197,0.464939934,4,9,2,1938,78,2,2,2,8,0,0,666,66666,2,1,2016,-1.20019348248061
"574",574,"CH",8,1424,1.140466452,0.464939934,2,8,2,1976,40,2,5,6,15,1,0,42,2341,2,9,2016,-1.19407974290786
"1499",1499,"CH",8,3401,0.972100914,0.464939934,3,7,2,1993,23,1,3,3,9,1,0,26,5320,2,4,2016,-1.19350376339117
"729",729,"CH",8,1754,1.152878165,0.464939934,4,8,2,1977,39,1,1,1,6,1,0,39,7543,2,5,2016,-1.19308029645644
"1198",1198,"CH",8,2757,0.993800044,0.464939934,1,7,1,1981,35,1,4,5,9,1,0,48,7233,2,3,2016,-1.19083610092152
"732",732,"CH",8,1759,0.75395447,0.464939934,3,8,1,1960,56,1,5,5,9,1,0,45,3322,1,4,2016,-1.1885608455786
"914",914,"CH",8,2161,0.972100914,0.464939934,3,8,2,1996,20,2,3,3,10,0,1,43,5320,2,7,2016,-1.18835609738904
"711",711,"CH",8,1715,1.009714603,0.464939934,2,9,2,1985,31,1,3,4,9,1,0,2,3119,2,6,2016,-1.18360161837874
"1505",1505,"CH",8,3410,1.022381425,0.464939934,2,8,1,1991,25,2,5,5,11,1,0,55,310,2,4,2016,-1.18355187876497
"1064",1064,"CH",8,2482,0.75395447,0.464939934,2,9,1,1954,62,2,5,7,9,1,0,6,2144,2,8,2016,-1.18026905405227
"118",118,"CH",8,355,0.899520457,0.464939934,3,8,1,1984,32,2,5,7,13,1,0,36,2433,1,6,2016,-1.17255936462329
"819",819,"CH",8,1955,1.140466452,0.464939934,2,10,2,1964,52,1,3,3,9,1,0,20,9110,2,77,2016,-1.17031805225552
"1056",1056,"CH",8,2470,1.147626638,0.464939934,4,7,2,1988,29,2,2,2,10,0,0,777,77777,1,77,2017,-1.16912433240156
"1458",1458,"CH",8,3288,0.872584283,0.464939934,2,8,1,1982,34,2,5,7,17,1,0,42,2310,2,9,2016,-1.16798083734724
"1215",1215,"CH",8,2795,1.302075982,0.464939934,1,8,1,1966,50,1,5,7,21,1,1,10,2611,2,10,2016,-1.16620832464176
"204",204,"CH",8,603,0.972100914,0.464939934,1,10,2,1991,25,2,5,6,18,1,0,41,3343,2,1,2016,-1.16515080385866
"343",343,"CH",8,931,0.890090764,0.464939934,1,8,1,1940,76,2,3,4,16,0,0,42,4110,1,6,2016,-1.16322516516034
"359",359,"CH",8,962,0.924070776,0.464939934,1,9,2,1959,57,2,2,2,8,1,0,27,5100,2,3,2016,-1.16177237927359
"86",86,"CH",8,248,1.152878165,0.464939934,4,7,2,1972,45,2,5,5,18,1,0,46,3313,1,7,2017,-1.16102459644526
"1129",1129,"CH",8,2610,1.17324388,0.464939934,1,9,1,1970,46,1,5,7,17,1,0,33,2330,2,8,2016,-1.15981127554735
"706",706,"CH",8,1708,1.140466452,0.464939934,1,8,2,1966,50,1,5,7,19,1,0,45,1112,2,10,2016,-1.15013412023868
"67",67,"CH",8,183,1.152878165,0.464939934,3,9,2,1970,46,1,3,3,9,1,0,35,4412,2,3,2016,-1.14935200649595
